,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2020-01-05-13,983.4,1021.2,21.8,15.8,69,4.7,30,11.2,30,0.0,0.0,0.5,1.68,-999,5,-999
2020-01-05-14,983.0,1020.9,20.9,16.1,74,4.0,20,9.9,30,0.0,0.0,0.5,1.67,20.0,5,7.0
2020-01-05-15,983.0,1021.0,19.6,16.8,84,3.5,20,14.2,60,0.0,0.0,0.0,0.24,-999,1,-999
2020-01-05-16,983.1,1021.1,20.0,17.4,85,2.4,360,10.6,40,0.0,0.0,0.0,0.53,-999,1,-999
2020-01-05-17,983.5,1021.5,20.1,18.2,89,4.0,20,11.2,50,0.0,0.0,0.0,0.03,20.0,0,8.0
2020-01-05-18,984.0,1021.9,20.5,17.4,82,5.8,40,12.8,40,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-05-19,984.7,1022.7,20.5,17.5,83,6.7,40,13.5,50,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-05-20,985.3,1023.3,20.3,17.3,83,5.0,40,12.5,40,0.0,0.0,-999,0.00,15.0,0,9.0
2020-01-05-21,985.5,1023.5,20.5,18.4,88,4.9,40,11.9,40,0.0,0.0,-999,0.00,15.0,0,7.0
2020-01-05-22,985.6,1023.6,20.4,17.8,85,6.4,40,12.9,50,0.0,0.0,-999,0.00,-999,0,-999
2020-01-05-23,985.2,1023.2,20.4,18.0,86,6.6,40,13.6,50,0.0,0.0,-999,0.00,-999,0,-999
2020-01-05-24,984.6,1022.6,20.4,18.2,87,7.5,50,12.8,50,0.0,0.0,-999,0.00,-999,0,-999
2020-01-06-01,984.4,1022.4,20.4,17.9,86,7.5,40,13.0,50,0.0,0.0,-999,0.00,-999,0,-999
2020-01-06-02,984.0,1022.0,20.3,17.9,86,4.6,30,12.5,30,0.0,0.0,-999,0.00,-999,0,-999
2020-01-06-03,983.6,1021.6,19.7,19.1,96,6.2,50,12.1,60,0.3,0.2,-999,0.00,-999,0,-999
2020-01-06-04,983.5,1021.4,20.4,17.8,85,8.6,60,12.0,60,0.0,0.0,-999,0.00,-999,0,-999
